# codepoint<TAB>base_syllable<TAB>tone(1..5)
13775	wai	1
13777	bai	5
13778	ai	4
13779	zhui	1
13780	qian	1
13781	gou	4
13782	dan	4
13783	bei	1
13784	bo	2
13785	chu	1
13786	li	4
13787	xiao	4
13788	xiu	4
13794	hong	2
13795	ti	4
13796	cu	4
13797	kuo	4
13798	lao	2
13799	zhi	4
13800	xie	1
13801	xi	1
13803	qie	4
13804	zha	1
13805	xi	1
13808	cong	2
13809	ji	2
13810	huo	4
13811	ta	3
13812	yan	2
13813	xu	4
13814	po	1
13815	sai	3
13819	guo	1
13820	ye	4
13821	xiang	3
13822	xue	1
13823	he	2
13824	zuo	4
13825	yi	4
13826	ci	2
13828	leng	1
13829	xian	2
13830	tai	3
13831	rong	2
13832	yi	4
13833	zhi	4
13834	xi	1
13835	xian	2
13836	ju	4
13837	ji	2
13838	han	3
13840	pao	4
13841	li	4
13843	lan	2
13844	sai	3
13845	han	3
13846	yan	2
13847	qu	1
13849	yan	2
13850	han	3
13851	kan	1
13852	chi	3
13853	nie	4
13854	huo	4
13856	bi	4
13857	xia	2
13858	weng	3
13859	xuan	2
13860	wan	1
13861	you	2
13862	qin	2
13863	xu	4
13864	nie	4
13865	bi	4
13866	hao	4
13867	jing	3
13868	ao	4
13869	ao	4
13872	zhen	1
13873	tan	1
13874	ju	2
13876	zuo	4
13877	bu	4
13878	jie	2
13879	ai	4
13880	zang	4
13881	ci	2
13882	fa	2
13887	nie	4
13888	liu	4
13889	mei	2
13890	dui	4
13891	bang	1
13892	bi	4
13893	bao	3
13895	chu	4
13896	xia	4
13897	tian	3
13898	chang	2
13901	duo	1
13902	wei	1
13903	fu	4
13904	duo	3
13905	yu	3
13906	ye	3
13907	kui	2
13908	wei	3
13909	kuai	4
13911	wei	1
13912	yao	1
13913	long	3
13914	xing	1
13915	bu	3
13916	chi	2
13917	xie	2
13918	nie	4
13919	lang	3
13920	yi	1
13921	zong	1
13922	man	2
13923	zhang	4
13924	xia	4
13925	gun	4
13926	xie	2
13928	ji	4
13929	liao	2
13930	yi	4
13931	ji	2
13932	yin	2
13934	da	1
13935	yi	4
13936	xie	4
13937	hao	4
13938	yong	3
13939	kan	3
13940	chan	4
13941	tai	2
13942	tang	2
13943	zhi	2
13944	bao	4
13945	meng	2
13946	kui	2
13947	chan	2
13948	lei	3
13950	xi	4
13952	xi	1
13953	qiao	4
13954	nang	4
13955	yun	1
13957	long	2
13958	fu	4
13959	zong	1
13961	gu	3
13962	kai	1
13963	diao	1
13964	hua	4
13965	kui	3
13967	gao	3
13968	tao	4
13970	shan	3
13971	lai	3
13972	nie	4
13973	fu	2
13974	gao	3
13975	qie	2
13976	ban	4
13977	jia	1
13978	kong	1
13979	xi	4
13980	yu	4
13981	zhui	1
13982	shen	3
13983	chuo	4
13984	xiao	1
13985	ji	3
13986	nu	2
13987	xiao	2
13988	yi	4
13989	yu	2
13990	yi	2
13991	yan	3
13992	shen	3
13993	ran	3
13994	hao	4
13995	sa	4
13996	jun	1
13997	you	2
13999	xin	2
14000	pei	1
14001	qiu	1
14002	chan	1
14004	bu	4
14005	dong	1
14006	si	4
14007	er	3
14009	mao	3
14010	yun	4
14011	ji	1
14013	qiao	3
14014	xiong	1
14015	pao	2
14016	chu	2
14017	peng	1
14018	nuo	3
14019	jie	2
14020	yi	1
14021	er	4
14022	duo	4
14026	duo	3
14029	qie	4
14030	lv	3
14031	qiu	2
14032	sou	3
14033	can	4
14034	dou	4
14035	xi	1
14036	feng	1
14037	yi	4
14038	suo	1
14039	qie	1
14040	po	4
14041	xin	1
14042	tong	3
14043	xin	4
14044	you	2
14045	bei	4
14046	long	4
14051	yun	2
14052	li	2
14053	ta	4
14054	lan	3
14055	man	3
14056	qiang	3
14057	zhou	2
14058	yan	4
14059	xi	1
14060	lu	4
14061	xi	1
14062	sao	3
14063	fan	4
14065	wei	3
14066	fa	4
14067	yi	4
14068	nao	3
14069	cheng	1
14070	tan	4
14071	ji	1
14072	shu	4
14073	pian	2
14074	an	1
14075	kua	1
14076	cha	1
14078	xian	2
14079	zhi	4
14082	feng	1
14083	lian	4
14084	xun	2
14085	xu	4
14086	mi	4
14087	hui	4
14088	mu	4
14089	yong	1
14090	zhan	3
14091	yi	4
14092	nou	3
14093	tang	2
14094	xi	1
14095	yun	2
14096	shu	4
14097	fu	2
14098	yi	4
14099	da	2
14101	lian	2
14102	cao	2
14103	can	1
14104	ju	4
14105	lu	4
14106	su	4
14107	nen	4
14108	ao	4
14109	an	3
14110	qian	4
14112	cui	1
14113	cong	1
14115	ran	2
14116	nian	3
14117	mai	2
14118	xin	2
14119	yue	4
14120	nai	2
14121	ao	4
14122	shen	1
14123	ma	4
14126	lan	4
14127	xi	1
14128	yue	4
14129	zhi	4
14130	weng	3
14131	huai	2
14132	meng	4
14133	niao	3
14134	wan	3
14135	mi	2
14136	nie	4
14137	qu	2
14138	zan	4
14139	lian	4
14140	zhi	2
14141	zi	3
14142	hai	2
14143	xu	4
14144	hao	4
14145	xuan	1
14146	zhi	4
14147	mian	3
14148	chun	2
14149	gou	4
14151	chun	2
14152	luan	2
14153	zhu	4
14154	shou	3
14155	liao	3
14156	jiu	4
14157	xie	3
14158	ding	4
14159	jie	4
14160	rong	2
14161	mang	2
14163	ke	4
14164	yao	3
14165	ning	2
14166	yi	2
14167	lang	2
14168	yong	2
14169	yin	2
14170	yan	2
14171	su	4
14173	lin	2
14174	ya	1
14175	mao	2
14176	ming	2
14177	zui	4
14178	yu	3
14179	yi	4
14180	gou	4
14181	mi	3
14182	jun	4
14183	wen	3
14185	kang	1
14186	dian	4
14187	long	2
14189	xing	3
14190	cui	4
14191	qiao	2
14192	mian	2
14193	meng	4
14194	qin	3
14196	wan	2
14197	de	2
14198	ai	4
14200	bian	4
14201	nou	2
14202	lian	2
14203	jin	3
14204	yu	1
14205	chui	2
14206	zuo	3
14207	bo	3
14208	hui	1
14209	yao	4
14210	tui	3
14211	ji	4
14212	an	1
14213	luo	4
14214	ji	3
14215	wei	3
14216	bo	1
14217	za	1
14218	xu	4
14219	nian	3
14220	yun	4
14222	ba	3
14223	zhe	2
14224	ju	1
14225	wei	3
14226	xie	4
14227	qi	4
14228	yi	2
14229	xie	4
14230	ci	2
14231	qiu	2
14232	du	1
14233	niao	4
14234	qi	4
14235	ji	3
14236	tui	1
14238	song	2
14239	dian	4
14240	lao	2
14241	zhan	3
14244	yin	2
14245	cen	2
14246	ji	3
14247	hui	4
14248	zi	3
14249	lan	2
14250	nao	2
14251	ju	4
14252	qin	4
14253	dai	4
14255	jie	2
14256	xu	3
14257	cong	1
14258	yong	4
14259	dou	3
14260	chi	2
14262	min	3
14263	huang	2
14264	sui	4
14265	ke	3
14266	zu	2
14267	hao	4
14268	cheng	2
14269	xue	4
14270	ni	2
14271	chi	4
14272	lian	2
14273	an	4
14274	mu	3
14275	si	1
14276	xiang	2
14277	yang	2
14278	hua	2
14279	cuo	4
14280	qiu	2
14281	lao	2
14282	fu	2
14283	dui	4
14284	mang	2
